familia,corrida,segundos,C,class_weight,max_iter,solver,penalty,roc_auc,pr_auc,brier,log_loss,accuracy,precision,recall,f1,umbral,tasa_predicha,prob_media,n_estimators,min_samples_leaf,max_features,max_depth,colsample_bytree,learning_rate,min_child_weight,reg_lambda,subsample
xgboost,17,4.260706901550293,,,,,,0.7075085721515226,0.6948534878337285,0.22413843870162964,0.6386416554450989,0.5925563519758559,0.5476447266485395,0.8828917078904834,0.6759855622744105,0.27,0.7760893143449967,0.39532163739204407,200.0,,,8.0,1.0,0.012863908101989912,5.0,10.0,0.6
xgboost,18,7.798324346542358,,,,,,0.7030560987653837,0.6922729777023622,0.22586187720298767,0.6434067487716675,0.5909294539281336,0.5465682925718449,0.8816917274820003,0.6748137388126142,0.24000000000000002,0.7765608789965104,0.3887600302696228,400.0,,,8.0,0.8,0.013833507535062186,20.0,0.1,1.0
xgboost,19,2.265626907348633,,,,,,0.6999888631423321,0.6879667907913007,0.22723791003227234,0.6471700668334961,0.5930043383947939,0.5486892252619235,0.8708429250134692,0.6732107191200553,0.24000000000000002,0.7640408374988211,0.38690584897994995,200.0,,,4.0,0.8,0.20441878352493792,20.0,10.0,0.8
xgboost,20,5.843005180358887,,,,,,0.6952415806274591,0.6821035132071678,0.23008118569850922,0.6577289700508118,0.5801659907573329,0.5389294766661696,0.8851937111230838,0.6699658956109134,0.2,0.7906960294256342,0.38977453112602234,600.0,,,6.0,1.0,0.13297554090738672,20.0,1.0,1.0
xgboost,21,7.399436712265015,,,,,,0.6958154519638575,0.6837045713858434,0.22984443604946136,0.6578905582427979,0.580224936338772,0.5389998955426559,0.8845569868247048,0.6698378258087847,0.2,0.7900240497972272,0.38961929082870483,400.0,,,8.0,1.0,0.05917520523090666,5.0,0.1,1.0
xgboost,22,1.7851557731628418,,,,,,0.696996618013843,0.6861785001171445,0.228188619017601,0.6497041583061218,0.5792346505705932,0.5380180073626163,0.8911936131654994,0.6709688125155568,0.22000000000000003,0.797404036593417,0.38661855459213257,200.0,,,4.0,1.0,0.2104512193446279,50.0,1.0,0.6
xgboost,23,3.630465507507324,,,,,,0.7012572660550371,0.6893122190805603,0.22722826898097992,0.6484507322311401,0.5807318683391492,0.5387431629712404,0.8973159621883724,0.6732631424214027,0.21000000000000002,0.8018013769687824,0.3880072236061096,200.0,,,8.0,1.0,0.07812639007238957,20.0,0.1,1.0
xgboost,24,9.247979879379272,,,,,,0.6909168490307394,0.6789263600819877,0.23144839704036713,0.6628052592277527,0.5819107799679336,0.5409798534798534,0.8680266444629475,0.6665475675574026,0.21000000000000002,0.7724228991794775,0.39092525839805603,400.0,,,10.0,1.0,0.10623841728427216,5.0,0.1,0.8
xgboost,25,18.63952898979187,,,,,,0.7031453289057277,0.6914588640565039,0.22632232308387756,0.6453179717063904,0.5850702631330755,0.5418323737163887,0.8941813194886614,0.6747796196706769,0.22000000000000003,0.7944449684051683,0.38776734471321106,800.0,,,10.0,0.6,0.014316201862826452,50.0,1.0,0.8
xgboost,26,3.4588139057159424,,,,,,0.7028853229443217,0.6917647564603839,0.22615420818328857,0.6440141201019287,0.5912831274167688,0.546949965729952,0.8794142136454915,0.6744358572246899,0.24000000000000002,0.7740144298783364,0.38744980096817017,200.0,,,8.0,1.0,0.030136785318307355,50.0,10.0,0.8
